periodo,concepto,rotulo,documento_origen,estado_financiero,pagina,nota,evidencia_linea,valor_pdf,valor_consolidado,coincide,estado,confianza
2025,b_prima_colocacion,Prima en colocacion de acciones,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Prima en colocación de acciones 23 37.303 37.303,37303.0,37303.0,True,ACEPTADO,ALTA
2020,b_reservas,Reservas,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Reservas 25 105.106 104.130,104130.0,104130.0,True,ACEPTADO,ALTA
2021,b_reservas,Reservas,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Reservas 25 105.106 104.130,105106.0,105106.0,True,ACEPTADO,ALTA
2022,b_reservas,Reservas,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Reservas 24 95.866 105.106,95866.0,95866.0,True,ACEPTADO,ALTA
2023,b_reservas,Reservas,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Reservas 24 92.364 95.866,92364.0,92364.0,True,ACEPTADO,ALTA
2024,b_reservas,Reservas,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Reservas 25 102.631 92.364,102631.0,102631.0,True,ACEPTADO,ALTA
2025,b_reservas,Reservas,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Reservas 24 118.595 102.631,118595.0,118595.0,True,ACEPTADO,ALTA
2020,b_utilidad_periodo,Utilidad del periodo,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Utilidad del periodo 47.632 58.220,58220.0,58220.0,True,ACEPTADO,ALTA
2021,b_utilidad_periodo,Utilidad del periodo,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Utilidad del periodo 47.632 58.220,47632.0,47632.0,True,ACEPTADO,ALTA
2022,b_utilidad_periodo,Utilidad del periodo,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Utilidad del periodo 36.237 47.632,36237.0,36237.0,True,ACEPTADO,ALTA
2023,b_utilidad_periodo,Utilidad del periodo,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Utilidad del periodo 70.126 36.237,70126.0,70126.0,True,ACEPTADO,ALTA
2024,b_utilidad_periodo,Utilidad del periodo,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Utilidad del periodo 20.997 70.126,20997.0,20997.0,True,ACEPTADO,ALTA
2025,b_utilidad_periodo,Utilidad del periodo,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Utilidad del periodo 30.947 20.997,30947.0,30947.0,True,ACEPTADO,ALTA
2020,b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Utilidad de ejercicios anteriores 708 708,708.0,708.0,True,ACEPTADO,ALTA
2021,b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Utilidad de ejercicios anteriores 708 708,708.0,708.0,True,ACEPTADO,ALTA
2022,b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Utilidad de ejercicios anteriores 708 708,708.0,708.0,True,ACEPTADO,ALTA
2023,b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Utilidad de ejercicios anteriores 708 708,708.0,708.0,True,ACEPTADO,ALTA
2024,b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Utilidad de ejercicios anteriores 708 708,708.0,708.0,True,ACEPTADO,ALTA
2025,b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Utilidad de ejercicios anteriores 708 708,708.0,708.0,True,ACEPTADO,ALTA
2020,b_efecto_ncif,Efecto NCIF,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Aplicación Normas de Contabilidad y de Información Financiera - NCIF / Efecto aplicación 14.179 14.179,14179.0,14179.0,True,ACEPTADO,ALTA
2021,b_efecto_ncif,Efecto NCIF,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Aplicación Normas de Contabilidad y de Información Financiera - NCIF / Efecto aplicación 14.179 14.179,14179.0,14179.0,True,ACEPTADO,ALTA
2022,b_efecto_ncif,Efecto NCIF,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Aplicación Normas de Contabilidad y de Información Financiera -NCIF / Efecto 14.179 14.179,14179.0,14179.0,True,ACEPTADO,ALTA
2023,b_efecto_ncif,Efecto NCIF,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Aplicación Normas de Contabilidad y de Información Financiera -NCIF / Efecto 14.179 14.179,14179.0,14179.0,True,ACEPTADO,ALTA
2024,b_efecto_ncif,Efecto NCIF,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Aplicación Normas de Contabilidad y de Información Financiera -NCIF / Efecto 14.179 14.179,14179.0,14179.0,True,ACEPTADO,ALTA
2025,b_efecto_ncif,Efecto NCIF,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Aplicación Normas de Contabilidad y de Información Financiera -NCIF / Efecto 14.179 14.179,14179.0,14179.0,True,ACEPTADO,ALTA
2020,b_ori_valorizacion,Ganancias no realizadas (ORI),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Ganancias o pérdidas no realizadas (ORI) 26 6.000 6.500,6500.0,6500.0,True,ACEPTADO,ALTA
2021,b_ori_valorizacion,Ganancias no realizadas (ORI),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Ganancias o pérdidas no realizadas (ORI) 26 6.000 6.500,6000.0,6000.0,True,ACEPTADO,ALTA
2022,b_ori_valorizacion,Ganancias no realizadas (ORI),Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Ganancias o pérdidas no realizadas (ORI) Resultado por valorización 25 7.072 6.000,7072.0,7072.0,True,ACEPTADO,ALTA
2023,b_ori_valorizacion,Ganancias no realizadas (ORI),Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Ganancias o pérdidas no realizadas (ORI) Resultado por valorización 25 7.009 7.072,7009.0,7009.0,True,ACEPTADO,ALTA
2024,b_ori_valorizacion,Ganancias no realizadas (ORI),Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Ganancias o pérdidas no realizadas (ORI) Resultado por valorización 26 7.079 7.009,7079.0,7079.0,True,ACEPTADO,ALTA
2025,b_ori_valorizacion,Ganancias no realizadas (ORI),Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Ganancias o pérdidas no realizadas (ORI) Resultado por valorización 25 14.142 7.079,14142.0,14142.0,True,ACEPTADO,ALTA
2020,b_patrimonio_total,Total patrimonio,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total patrimonio $ 282.888 $ 293.000,293000.0,293000.0,True,ACEPTADO,ALTA
2021,b_patrimonio_total,Total patrimonio,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total patrimonio $ 282.888 $ 293.000,282888.0,282888.0,True,ACEPTADO,ALTA
2022,b_patrimonio_total,Total patrimonio,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total patrimonio 22 $ 263.325 $ 282.888,263325.0,263325.0,True,ACEPTADO,ALTA
2023,b_patrimonio_total,Total patrimonio,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total patrimonio 22 $ 293.649 $ 263.325,293649.0,293649.0,True,ACEPTADO,ALTA
2024,b_patrimonio_total,Total patrimonio,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Total, patrimonio 23 $ 254.857 $ 293.649",254857.0,254857.0,True,ACEPTADO,ALTA
2025,b_patrimonio_total,Total patrimonio,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Total, patrimonio 22 $ 287.834 $ 254.857",287834.0,287834.0,True,ACEPTADO,ALTA
2020,b_total_pasivo_patrimonio,Total pasivo y patrimonio,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total de pasivos y patrimonio $ 348.286 $ 359.005,359005.0,359005.0,True,ACEPTADO,ALTA
2021,b_total_pasivo_patrimonio,Total pasivo y patrimonio,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total de pasivos y patrimonio $ 348.286 $ 359.005,348286.0,348286.0,True,ACEPTADO,ALTA
2022,b_total_pasivo_patrimonio,Total pasivo y patrimonio,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total de pasivos y patrimonio $ 334.823 $ 348.286,334823.0,334823.0,True,ACEPTADO,ALTA
2023,b_total_pasivo_patrimonio,Total pasivo y patrimonio,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total de pasivos y patrimonio $ 375.984 $ 334.823,375984.0,375984.0,True,ACEPTADO,ALTA
2024,b_total_pasivo_patrimonio,Total pasivo y patrimonio,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Total, de pasivos y patrimonio $ 314.960 $ 375.984",314960.0,314960.0,True,ACEPTADO,ALTA
2025,b_total_pasivo_patrimonio,Total pasivo y patrimonio,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Total, de pasivos y patrimonio $ 348.129 $ 314.960",348129.0,348129.0,True,ACEPTADO,ALTA
2020,i_comisiones,Comisiones y honorarios,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Comisiones y honorarios $ 187.571 $ 168.993,168993.0,168993.0,True,ACEPTADO,ALTA
2021,i_comisiones,Comisiones y honorarios,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Comisiones y honorarios $ 187.571 $ 168.993,187571.0,187571.0,True,ACEPTADO,ALTA
2022,i_comisiones,Comisiones y honorarios,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Comisiones y honorarios $ 207.295 $ 187.571,207295.0,207295.0,True,ACEPTADO,ALTA
2023,i_comisiones,Comisiones y honorarios,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Comisiones y honorarios $ 195.117 $ 207.295,195117.0,195117.0,True,ACEPTADO,ALTA
2024,i_comisiones,Comisiones y honorarios,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3.0,,Comisiones y honorarios $ 197.611 $ 195.117,197611.0,197611.0,True,ACEPTADO,ALTA
2025,i_comisiones,Comisiones y honorarios,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Comisiones y honorarios $ 228.192 $ 197.611,228192.0,228192.0,True,ACEPTADO,ALTA
2020,i_ingresos_operaciones_conjuntas,Ingresos operaciones conjuntas,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Ingresos de actividades en operaciones conjuntas 16.690 27.805,27805.0,27805.0,True,ACEPTADO,ALTA
2021,i_ingresos_operaciones_conjuntas,Ingresos operaciones conjuntas,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Ingresos de actividades en operaciones conjuntas 16.690 27.805,16690.0,16690.0,True,ACEPTADO,ALTA
2022,i_ingresos_operaciones_conjuntas,Ingresos operaciones conjuntas,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Ingresos de actividades en operaciones conjuntas 12.691 16.690,12691.0,12691.0,True,ACEPTADO,ALTA
2023,i_ingresos_operaciones_conjuntas,Ingresos operaciones conjuntas,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Ingresos de actividades en operaciones conjuntas 25.837 12.691,25837.0,25837.0,True,ACEPTADO,ALTA
2024,i_ingresos_operaciones_conjuntas,Ingresos operaciones conjuntas,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3.0,,Ingresos de actividades en operaciones conjuntas 29.141 25.837,29141.0,29141.0,True,ACEPTADO,ALTA
2025,i_ingresos_operaciones_conjuntas,Ingresos operaciones conjuntas,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Ingresos de actividades en operaciones conjuntas 32.611 29.141,32611.0,32611.0,True,ACEPTADO,ALTA
2020,i_utilidad_bruta,Resultado antes de gastos de operacion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Resultado antes de gastos de operación 27 204.261 196.798,196798.0,196798.0,True,ACEPTADO,ALTA
2021,i_utilidad_bruta,Resultado antes de gastos de operacion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Resultado antes de gastos de operación 27 204.261 196.798,204261.0,204261.0,True,ACEPTADO,ALTA
2022,i_utilidad_bruta,Resultado antes de gastos de operacion,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Resultado antes de gastos de operación 26 219.986 204.261,219986.0,219986.0,True,ACEPTADO,ALTA
2023,i_utilidad_bruta,Resultado antes de gastos de operacion,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Resultado antes de gastos de operación 26 220.954 219.986,220954.0,220954.0,True,ACEPTADO,ALTA
2024,i_utilidad_bruta,Resultado antes de gastos de operacion,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3.0,,Resultado antes de gastos de operación 27 226.752 220.954,226752.0,226752.0,True,ACEPTADO,ALTA
2025,i_utilidad_bruta,Resultado antes de gastos de operacion,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Resultado antes de gastos de operación 26 260.803 226.752,260803.0,260803.0,True,ACEPTADO,ALTA
2020,i_gasto_beneficios,Gasto beneficios a empleados,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Beneficios a empleados 28 29.709 31.241,31241.0,31241.0,True,ACEPTADO,ALTA
2021,i_gasto_beneficios,Gasto beneficios a empleados,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Beneficios a empleados 28 29.709 31.241,29709.0,29709.0,True,ACEPTADO,ALTA
2022,i_gasto_beneficios,Gasto beneficios a empleados,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Beneficios a empleados 27 34.482 29.709,34482.0,34482.0,True,ACEPTADO,ALTA
2023,i_gasto_beneficios,Gasto beneficios a empleados,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Beneficios a empleados 27 40.726 34.482,40726.0,40726.0,True,ACEPTADO,ALTA
2024,i_gasto_beneficios,Gasto beneficios a empleados,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3.0,,Beneficios a empleados 28 47.165 40.726,47165.0,47165.0,True,ACEPTADO,ALTA
2025,i_gasto_beneficios,Gasto beneficios a empleados,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Beneficios a empleados 27 52.971 47.165,52971.0,52971.0,True,ACEPTADO,ALTA
2020,i_gastos_administracion,Gastos de administracion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Gastos de administración 29 67.724 73.157,73157.0,73157.0,True,ACEPTADO,ALTA
2021,i_gastos_administracion,Gastos de administracion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Gastos de administración 29 67.724 73.157,67724.0,67724.0,True,ACEPTADO,ALTA
2022,i_gastos_administracion,Gastos de administracion,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Gastos de administración 28 78.846 67.724,78846.0,78846.0,True,ACEPTADO,ALTA
2023,i_gastos_administracion,Gastos de administracion,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Gastos de administración 28 96.291 78.846,96291.0,96291.0,True,ACEPTADO,ALTA
2024,i_gastos_administracion,Gastos de administracion,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3.0,,Gastos de administración 29 129.257 96.291,129257.0,129257.0,True,ACEPTADO,ALTA
2025,i_gastos_administracion,Gastos de administracion,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Gastos de administración 28 136.700 129.257,136700.0,136700.0,True,ACEPTADO,ALTA
2020,i_gastos_operaciones_conjuntas,Gastos operaciones conjuntas,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Gastos de actividades en operaciones conjuntas 30 10.827 13.092,13092.0,13092.0,True,ACEPTADO,ALTA
2021,i_gastos_operaciones_conjuntas,Gastos operaciones conjuntas,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Gastos de actividades en operaciones conjuntas 30 10.827 13.092,10827.0,10827.0,True,ACEPTADO,ALTA
2022,i_gastos_operaciones_conjuntas,Gastos operaciones conjuntas,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Gastos de actividades en operaciones conjuntas 29 8.627 10.827,8627.0,8627.0,True,ACEPTADO,ALTA
2023,i_gastos_operaciones_conjuntas,Gastos operaciones conjuntas,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Gastos de actividades en operaciones conjuntas 29 9.867 8.627,9867.0,9867.0,True,ACEPTADO,ALTA
2024,i_gastos_operaciones_conjuntas,Gastos operaciones conjuntas,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3.0,,Gastos de actividades en operaciones conjuntas 30 16.582 9.867,16582.0,16582.0,True,ACEPTADO,ALTA
2025,i_gastos_operaciones_conjuntas,Gastos operaciones conjuntas,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Gastos de actividades en operaciones conjuntas 29 17.634 16.582,17634.0,17634.0,True,ACEPTADO,ALTA
2020,i_deterioro_cxc,Deterioro cuentas por cobrar,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,"Deterioro cuentas por cobrar, neto 31 2.199 (331)",-331.0,-331.0,True,ACEPTADO,ALTA
2021,i_deterioro_cxc,Deterioro cuentas por cobrar,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,"Deterioro cuentas por cobrar, neto 31 2.199 (331)",2199.0,2199.0,True,ACEPTADO,ALTA
2022,i_deterioro_cxc,Deterioro cuentas por cobrar,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,"Deterioro cuentas por cobrar, neto 30 2.130 2.199",2130.0,2130.0,True,ACEPTADO,ALTA
2023,i_deterioro_cxc,Deterioro cuentas por cobrar,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,"Deterioro cuentas por cobrar, neto 30 5.378 2.130",5378.0,5378.0,True,ACEPTADO,ALTA
2024,i_deterioro_cxc,Deterioro cuentas por cobrar,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3.0,,"Deterioro cuentas por cobrar, neto 31 (617) 5.378",-617.0,-617.0,True,ACEPTADO,ALTA
2025,i_deterioro_cxc,Deterioro cuentas por cobrar,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,"Deterioro cuentas por cobrar, neto 30 811 (617)",811.0,811.0,True,ACEPTADO,ALTA
2020,i_depreciaciones,Depreciacion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Depreciación 32 2.769 4.099,4099.0,4099.0,True,ACEPTADO,ALTA
2021,i_depreciaciones,Depreciacion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Depreciación 32 2.769 4.099,2769.0,2769.0,True,ACEPTADO,ALTA
2022,i_depreciaciones,Depreciacion,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Depreciaciones 31 2.087 2.769,2087.0,2087.0,True,ACEPTADO,ALTA
2023,i_depreciaciones,Depreciacion,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Depreciaciones 31 2.022 2.087,2022.0,2022.0,True,ACEPTADO,ALTA
2024,i_depreciaciones,Depreciacion,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3.0,,Depreciaciones 32 2.253 2.022,2253.0,2253.0,True,ACEPTADO,ALTA
2025,i_depreciaciones,Depreciacion,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Depreciaciones 31 2.623 2.253,2623.0,2623.0,True,ACEPTADO,ALTA
2020,i_amortizaciones,Amortizacion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Amortización 33 11.727 9.786,9786.0,9786.0,True,ACEPTADO,ALTA
2021,i_amortizaciones,Amortizacion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Amortización 33 11.727 9.786,11727.0,11727.0,True,ACEPTADO,ALTA
2022,i_amortizaciones,Amortizacion,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Amortizaciones 32 13.543 11.727,13543.0,13543.0,True,ACEPTADO,ALTA
2023,i_amortizaciones,Amortizacion,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Amortizaciones 32 8.272 13.543,8272.0,8272.0,True,ACEPTADO,ALTA
2024,i_amortizaciones,Amortizacion,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3.0,,Amortizaciones 33 12.562 8.272,12562.0,12562.0,True,ACEPTADO,ALTA
2025,i_amortizaciones,Amortizacion,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Amortizaciones 32 13.269 12.562,13269.0,13269.0,True,ACEPTADO,ALTA
2020,i_resultado_despues_gastos,Resultado despues de gastos,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Resultado después de Gastos Operación $ 79.306 $ 65.754,65754.0,65754.0,True,ACEPTADO,ALTA
2021,i_resultado_despues_gastos,Resultado despues de gastos,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Resultado después de Gastos Operación $ 79.306 $ 65.754,79306.0,79306.0,True,ACEPTADO,ALTA
2022,i_resultado_despues_gastos,Resultado despues de gastos,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Resultado después de Gastos Operación $ 80.271 $ 79.306,80271.0,80271.0,True,ACEPTADO,ALTA
2023,i_resultado_despues_gastos,Resultado despues de gastos,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Resultado después de Gastos Operación $ 58.398 $ 80.271,58398.0,58398.0,True,ACEPTADO,ALTA
2024,i_resultado_despues_gastos,Resultado despues de gastos,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3.0,,Resultado después de Gastos Operación $ 19.550 $ 58.398,19550.0,19550.0,True,ACEPTADO,ALTA
2025,i_resultado_despues_gastos,Resultado despues de gastos,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Resultado después de Gastos Operación $ 36.795 $ 19.550,36795.0,36795.0,True,ACEPTADO,ALTA
2020,i_resultado_financiero_neto,Resultado financiero neto,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,"Resultado financiero, neto 34 $ (8.318) $ 17.791",17791.0,17791.0,True,ACEPTADO,ALTA
2021,i_resultado_financiero_neto,Resultado financiero neto,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,"Resultado financiero, neto 34 $ (8.318) $ 17.791",-8318.0,-8318.0,True,ACEPTADO,ALTA
2022,i_resultado_financiero_neto,Resultado financiero neto,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,"Resultado financiero, neto 33 $ (12.216) $ (8.318)",-12216.0,-12216.0,True,ACEPTADO,ALTA
2023,i_resultado_financiero_neto,Resultado financiero neto,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,"Resultado financiero, neto 33 $ 60.266 $ (12.216)",60266.0,60266.0,True,ACEPTADO,ALTA
2024,i_resultado_financiero_neto,Resultado financiero neto,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3.0,,"Resultado financiero, neto 34 $ 11.976 $ 60.266",11976.0,11976.0,True,ACEPTADO,ALTA
2025,i_resultado_financiero_neto,Resultado financiero neto,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,"Resultado financiero, neto 33 $ 18.185 $ 11.976",18185.0,18185.0,True,ACEPTADO,ALTA
2020,i_resultado_operacional,Resultado operacional,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Resultado operacional $ 70.988 $ 83.545,83545.0,83545.0,True,ACEPTADO,ALTA
2021,i_resultado_operacional,Resultado operacional,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,Resultado operacional $ 70.988 $ 83.545,70988.0,70988.0,True,ACEPTADO,ALTA
2022,i_resultado_operacional,Resultado operacional,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Resultado operacional $ 68.055 $ 70.988,68055.0,68055.0,True,ACEPTADO,ALTA
2023,i_resultado_operacional,Resultado operacional,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Resultado operacional $ 118.664 $ 68.055,118664.0,118664.0,True,ACEPTADO,ALTA
2024,i_resultado_operacional,Resultado operacional,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3.0,,Resultado operacional $ 31.526 $ 118.664,31526.0,31526.0,True,ACEPTADO,ALTA
2025,i_resultado_operacional,Resultado operacional,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,Resultado operacional $ 54.980 $ 31.526,54980.0,54980.0,True,ACEPTADO,ALTA
2020,i_otros_ingresos_egresos,Otros ingresos/(egresos),Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,"Otros ingresos (egresos), neto 35 1.180 6.612",6612.0,6612.0,True,ACEPTADO,ALTA
2021,i_otros_ingresos_egresos,Otros ingresos/(egresos),Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2.0,,"Otros ingresos (egresos), neto 35 1.180 6.612",1180.0,1180.0,True,ACEPTADO,ALTA
2022,i_otros_ingresos_egresos,Otros ingresos/(egresos),Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2.0,,"Otros ingresos (egresos), neto 34 (2.926) 1.180",-2926.0,-2926.0,True,ACEPTADO,ALTA
