anio,numero,indicador,clasificacion,formula,valor,estado,motivo,fuente,condicional
2020,20,Dias de inventario,Actividad y eficiencia,365 / Rotacion de inventarios,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2021,20,Dias de inventario,Actividad y eficiencia,365 / Rotacion de inventarios,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2022,20,Dias de inventario,Actividad y eficiencia,365 / Rotacion de inventarios,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2023,20,Dias de inventario,Actividad y eficiencia,365 / Rotacion de inventarios,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2024,20,Dias de inventario,Actividad y eficiencia,365 / Rotacion de inventarios,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2025,20,Dias de inventario,Actividad y eficiencia,365 / Rotacion de inventarios,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2020,21,Rotacion de cuentas por pagar,Actividad y eficiencia,Compras a credito / ((Cuentas por pagar actual + anterior) / 2),,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2021,21,Rotacion de cuentas por pagar,Actividad y eficiencia,Compras a credito / ((Cuentas por pagar actual + anterior) / 2),,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2022,21,Rotacion de cuentas por pagar,Actividad y eficiencia,Compras a credito / ((Cuentas por pagar actual + anterior) / 2),,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2023,21,Rotacion de cuentas por pagar,Actividad y eficiencia,Compras a credito / ((Cuentas por pagar actual + anterior) / 2),,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2024,21,Rotacion de cuentas por pagar,Actividad y eficiencia,Compras a credito / ((Cuentas por pagar actual + anterior) / 2),,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2025,21,Rotacion de cuentas por pagar,Actividad y eficiencia,Compras a credito / ((Cuentas por pagar actual + anterior) / 2),,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2020,22,Periodo medio de pago,Actividad y eficiencia,365 / Rotacion de cuentas por pagar,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2021,22,Periodo medio de pago,Actividad y eficiencia,365 / Rotacion de cuentas por pagar,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2022,22,Periodo medio de pago,Actividad y eficiencia,365 / Rotacion de cuentas por pagar,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2023,22,Periodo medio de pago,Actividad y eficiencia,365 / Rotacion de cuentas por pagar,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2024,22,Periodo medio de pago,Actividad y eficiencia,365 / Rotacion de cuentas por pagar,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2025,22,Periodo medio de pago,Actividad y eficiencia,365 / Rotacion de cuentas por pagar,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2020,23,Rotacion del capital de trabajo,Actividad y eficiencia,Ingresos / ((CT actual + CT anterior) / 2),,NO_ENCONTRADO,Indicador informativo sin umbral de screening.,,NO
2021,23,Rotacion del capital de trabajo,Actividad y eficiencia,Ingresos / ((CT actual + CT anterior) / 2),0.73921,OK,Indicador informativo sin umbral de screening.,,NO
2022,23,Rotacion del capital de trabajo,Actividad y eficiencia,Ingresos / ((CT actual + CT anterior) / 2),0.839576,OK,Indicador informativo sin umbral de screening.,,NO
2023,23,Rotacion del capital de trabajo,Actividad y eficiencia,Ingresos / ((CT actual + CT anterior) / 2),0.816461,OK,Indicador informativo sin umbral de screening.,,NO
2024,23,Rotacion del capital de trabajo,Actividad y eficiencia,Ingresos / ((CT actual + CT anterior) / 2),0.853032,OK,Indicador informativo sin umbral de screening.,,NO
2025,23,Rotacion del capital de trabajo,Actividad y eficiencia,Ingresos / ((CT actual + CT anterior) / 2),1.01896,OK,Indicador informativo sin umbral de screening.,,NO
2020,24,EBITDA,Actividad y eficiencia,Resultado operativo antes de intereses e impuestos + Depreciacion + Amortizacion,100136,OK,EBITDA negativo = operación sin generación de flujo. Valor 100136 dentro de rango normal.,Generación de caja operativa primaria de la entidad.,NO
2021,24,EBITDA,Actividad y eficiencia,Resultado operativo antes de intereses e impuestos + Depreciacion + Amortizacion,109478,OK,EBITDA negativo = operación sin generación de flujo. Valor 109478 dentro de rango normal.,Generación de caja operativa primaria de la entidad.,NO
2022,24,EBITDA,Actividad y eficiencia,Resultado operativo antes de intereses e impuestos + Depreciacion + Amortizacion,108605,OK,EBITDA negativo = operación sin generación de flujo. Valor 108605 dentro de rango normal.,Generación de caja operativa primaria de la entidad.,NO
2023,24,EBITDA,Actividad y eficiencia,Resultado operativo antes de intereses e impuestos + Depreciacion + Amortizacion,78821,OK,EBITDA negativo = operación sin generación de flujo. Valor 78821 dentro de rango normal.,Generación de caja operativa primaria de la entidad.,NO
2024,24,EBITDA,Actividad y eficiencia,Resultado operativo antes de intereses e impuestos + Depreciacion + Amortizacion,54269,OK,EBITDA negativo = operación sin generación de flujo. Valor 54269 dentro de rango normal.,Generación de caja operativa primaria de la entidad.,NO
2025,24,EBITDA,Actividad y eficiencia,Resultado operativo antes de intereses e impuestos + Depreciacion + Amortizacion,71835,OK,EBITDA negativo = operación sin generación de flujo. Valor 71835 dentro de rango normal.,Generación de caja operativa primaria de la entidad.,NO
2020,25,Resultado operativo antes de intereses e impuestos (EBIT),Rentabilidad,Ingresos - Costo de ventas - Gastos Generales - Otros gastos operacionales + Otros ingresos operacionales,86251,OK,Margen/EBIT negativo. Valor 86251 dentro de rango normal.,Resultado operativo negativo.,NO
2021,25,Resultado operativo antes de intereses e impuestos (EBIT),Rentabilidad,Ingresos - Costo de ventas - Gastos Generales - Otros gastos operacionales + Otros ingresos operacionales,94982,OK,Margen/EBIT negativo. Valor 94982 dentro de rango normal.,Resultado operativo negativo.,NO
2022,25,Resultado operativo antes de intereses e impuestos (EBIT),Rentabilidad,Ingresos - Costo de ventas - Gastos Generales - Otros gastos operacionales + Otros ingresos operacionales,92975,OK,Margen/EBIT negativo. Valor 92975 dentro de rango normal.,Resultado operativo negativo.,NO
2023,25,Resultado operativo antes de intereses e impuestos (EBIT),Rentabilidad,Ingresos - Costo de ventas - Gastos Generales - Otros gastos operacionales + Otros ingresos operacionales,68527,OK,Margen/EBIT negativo. Valor 68527 dentro de rango normal.,Resultado operativo negativo.,NO
2024,25,Resultado operativo antes de intereses e impuestos (EBIT),Rentabilidad,Ingresos - Costo de ventas - Gastos Generales - Otros gastos operacionales + Otros ingresos operacionales,39454,OK,Margen/EBIT negativo. Valor 39454 dentro de rango normal.,Resultado operativo negativo.,NO
2025,25,Resultado operativo antes de intereses e impuestos (EBIT),Rentabilidad,Ingresos - Costo de ventas - Gastos Generales - Otros gastos operacionales + Otros ingresos operacionales,55943,OK,Margen/EBIT negativo. Valor 55943 dentro de rango normal.,Resultado operativo negativo.,NO
2020,26,Margen bruto,Rentabilidad,Utilidad bruta / Ingresos,1,OK,Margen bruto negativo. Valor 1 dentro de rango normal.,Resultado bruto negativo.,NO
2021,26,Margen bruto,Rentabilidad,Utilidad bruta / Ingresos,1,OK,Margen bruto negativo. Valor 1 dentro de rango normal.,Resultado bruto negativo.,NO
2022,26,Margen bruto,Rentabilidad,Utilidad bruta / Ingresos,1,OK,Margen bruto negativo. Valor 1 dentro de rango normal.,Resultado bruto negativo.,NO
2023,26,Margen bruto,Rentabilidad,Utilidad bruta / Ingresos,1,OK,Margen bruto negativo. Valor 1 dentro de rango normal.,Resultado bruto negativo.,NO
2024,26,Margen bruto,Rentabilidad,Utilidad bruta / Ingresos,1,OK,Margen bruto negativo. Valor 1 dentro de rango normal.,Resultado bruto negativo.,NO
2025,26,Margen bruto,Rentabilidad,Utilidad bruta / Ingresos,1,OK,Margen bruto negativo. Valor 1 dentro de rango normal.,Resultado bruto negativo.,NO
2020,27,Margen operativo,Rentabilidad,EBIT / Ingresos,0.438272,OK,Margen operativo negativo. Valor 0.438272 dentro de rango normal.,Margen operativo < 0 -> pérdida de la actividad.,NO
2021,27,Margen operativo,Rentabilidad,EBIT / Ingresos,0.465003,OK,Margen operativo negativo. Valor 0.465003 dentro de rango normal.,Margen operativo < 0 -> pérdida de la actividad.,NO
2022,27,Margen operativo,Rentabilidad,EBIT / Ingresos,0.422641,OK,Margen operativo negativo. Valor 0.422641 dentro de rango normal.,Margen operativo < 0 -> pérdida de la actividad.,NO
2023,27,Margen operativo,Rentabilidad,EBIT / Ingresos,0.310141,OK,Margen operativo negativo. Valor 0.310141 dentro de rango normal.,Margen operativo < 0 -> pérdida de la actividad.,NO
2024,27,Margen operativo,Rentabilidad,EBIT / Ingresos,0.173996,OK,Margen operativo negativo. Valor 0.173996 dentro de rango normal.,Margen operativo < 0 -> pérdida de la actividad.,NO
2025,27,Margen operativo,Rentabilidad,EBIT / Ingresos,0.214503,OK,Margen operativo negativo. Valor 0.214503 dentro de rango normal.,Margen operativo < 0 -> pérdida de la actividad.,NO
2020,28,Margen EBITDA,Rentabilidad,EBITDA / Ingresos,0.508826,OK,Margen EBITDA negativo. Valor 0.508826 dentro de rango normal.,Margen EBITDA < 0 -> sin caja operativa.,NO
2021,28,Margen EBITDA,Rentabilidad,EBITDA / Ingresos,0.535971,OK,Margen EBITDA negativo. Valor 0.535971 dentro de rango normal.,Margen EBITDA < 0 -> sin caja operativa.,NO
2022,28,Margen EBITDA,Rentabilidad,EBITDA / Ingresos,0.493691,OK,Margen EBITDA negativo. Valor 0.493691 dentro de rango normal.,Margen EBITDA < 0 -> sin caja operativa.,NO
2023,28,Margen EBITDA,Rentabilidad,EBITDA / Ingresos,0.35673,OK,Margen EBITDA negativo. Valor 0.35673 dentro de rango normal.,Margen EBITDA < 0 -> sin caja operativa.,NO
2024,28,Margen EBITDA,Rentabilidad,EBITDA / Ingresos,0.239332,OK,Margen EBITDA negativo. Valor 0.239332 dentro de rango normal.,Margen EBITDA < 0 -> sin caja operativa.,NO
2025,28,Margen EBITDA,Rentabilidad,EBITDA / Ingresos,0.275438,OK,Margen EBITDA negativo. Valor 0.275438 dentro de rango normal.,Margen EBITDA < 0 -> sin caja operativa.,NO
2020,29,Margen antes de impuestos,Rentabilidad,Utilidad antes de impuestos / Ingresos,0.458119,OK,Margen antes de impuestos negativo. Valor 0.458119 dentro de rango normal.,Resultado integral antes de impuestos < 0.,NO
2021,29,Margen antes de impuestos,Rentabilidad,Utilidad antes de impuestos / Ingresos,0.353313,OK,Margen antes de impuestos negativo. Valor 0.353313 dentro de rango normal.,Resultado integral antes de impuestos < 0.,NO
2022,29,Margen antes de impuestos,Rentabilidad,Utilidad antes de impuestos / Ingresos,0.29606,OK,Margen antes de impuestos negativo. Valor 0.29606 dentro de rango normal.,Resultado integral antes de impuestos < 0.,NO
2023,29,Margen antes de impuestos,Rentabilidad,Utilidad antes de impuestos / Ingresos,0.536306,OK,Margen antes de impuestos negativo. Valor 0.536306 dentro de rango normal.,Resultado integral antes de impuestos < 0.,NO
2024,29,Margen antes de impuestos,Rentabilidad,Utilidad antes de impuestos / Ingresos,0.161476,OK,Margen antes de impuestos negativo. Valor 0.161476 dentro de rango normal.,Resultado integral antes de impuestos < 0.,NO
2025,29,Margen antes de impuestos,Rentabilidad,Utilidad antes de impuestos / Ingresos,0.223295,OK,Margen antes de impuestos negativo. Valor 0.223295 dentro de rango normal.,Resultado integral antes de impuestos < 0.,NO
2020,30,Margen neto,Rentabilidad,Utilidad neta / Ingresos,0.295836,OK,Margen neto negativo. Valor 0.295836 dentro de rango normal.,Resultado neto del periodo < 0.,NO
2021,30,Margen neto,Rentabilidad,Utilidad neta / Ingresos,0.233192,OK,Margen neto negativo. Valor 0.233192 dentro de rango normal.,Resultado neto del periodo < 0.,NO
2022,30,Margen neto,Rentabilidad,Utilidad neta / Ingresos,0.164724,OK,Margen neto negativo. Valor 0.164724 dentro de rango normal.,Resultado neto del periodo < 0.,NO
2023,30,Margen neto,Rentabilidad,Utilidad neta / Ingresos,0.317378,OK,Margen neto negativo. Valor 0.317378 dentro de rango normal.,Resultado neto del periodo < 0.,NO
2024,30,Margen neto,Rentabilidad,Utilidad neta / Ingresos,0.092599,OK,Margen neto negativo. Valor 0.092599 dentro de rango normal.,Resultado neto del periodo < 0.,NO
2025,30,Margen neto,Rentabilidad,Utilidad neta / Ingresos,0.11866,OK,Margen neto negativo. Valor 0.11866 dentro de rango normal.,Resultado neto del periodo < 0.,NO
2020,31,ROA,Rentabilidad,Utilidad neta / ((Activo total actual + anterior) / 2),,NO_ENCONTRADO,Sin valor en indicadores.csv para este año,Retorno sobre el activo < 0.,NO
2021,31,ROA,Rentabilidad,Utilidad neta / ((Activo total actual + anterior) / 2),0.134689,OK,ROA negativo. Valor 0.134689 dentro de rango normal.,Retorno sobre el activo < 0.,NO
2022,31,ROA,Rentabilidad,Utilidad neta / ((Activo total actual + anterior) / 2),0.106094,OK,ROA negativo. Valor 0.106094 dentro de rango normal.,Retorno sobre el activo < 0.,NO
2023,31,ROA,Rentabilidad,Utilidad neta / ((Activo total actual + anterior) / 2),0.197314,OK,ROA negativo. Valor 0.197314 dentro de rango normal.,Retorno sobre el activo < 0.,NO
2024,31,ROA,Rentabilidad,Utilidad neta / ((Activo total actual + anterior) / 2),0.0607777,OK,ROA negativo. Valor 0.0607777 dentro de rango normal.,Retorno sobre el activo < 0.,NO
2025,31,ROA,Rentabilidad,Utilidad neta / ((Activo total actual + anterior) / 2),0.0933419,OK,ROA negativo. Valor 0.0933419 dentro de rango normal.,Retorno sobre el activo < 0.,NO
2020,32,ROE,Rentabilidad,Utilidad neta / ((Patrimonio actual + anterior) / 2),,NO_ENCONTRADO,Sin valor en indicadores.csv para este año,Rentabilidad del patrimonio < 0.,NO
2021,32,ROE,Rentabilidad,Utilidad neta / ((Patrimonio actual + anterior) / 2),0.165421,OK,ROE negativo. Valor 0.165421 dentro de rango normal.,Rentabilidad del patrimonio < 0.,NO
2022,32,ROE,Rentabilidad,Utilidad neta / ((Patrimonio actual + anterior) / 2),0.132685,OK,ROE negativo. Valor 0.132685 dentro de rango normal.,Rentabilidad del patrimonio < 0.,NO
2023,32,ROE,Rentabilidad,Utilidad neta / ((Patrimonio actual + anterior) / 2),0.251811,OK,ROE negativo. Valor 0.251811 dentro de rango normal.,Rentabilidad del patrimonio < 0.,NO
2024,32,ROE,Rentabilidad,Utilidad neta / ((Patrimonio actual + anterior) / 2),0.0765607,OK,ROE negativo. Valor 0.0765607 dentro de rango normal.,Rentabilidad del patrimonio < 0.,NO
2025,32,ROE,Rentabilidad,Utilidad neta / ((Patrimonio actual + anterior) / 2),0.11405,OK,ROE negativo. Valor 0.11405 dentro de rango normal.,Rentabilidad del patrimonio < 0.,NO
2020,33,Capital invertido,Rentabilidad,Capital Suscrito y Pagado + Obligaciones Financieras,81649,OK,Capital invertido negativo. Valor 81649 dentro de rango normal.,Screening de coherencia.,NO
2021,33,Capital invertido,Rentabilidad,Capital Suscrito y Pagado + Obligaciones Financieras,79727,OK,Capital invertido negativo. Valor 79727 dentro de rango normal.,Screening de coherencia.,NO
2022,33,Capital invertido,Rentabilidad,Capital Suscrito y Pagado + Obligaciones Financieras,78167,OK,Capital invertido negativo. Valor 78167 dentro de rango normal.,Screening de coherencia.,NO
2023,33,Capital invertido,Rentabilidad,Capital Suscrito y Pagado + Obligaciones Financieras,78291,OK,Capital invertido negativo. Valor 78291 dentro de rango normal.,Screening de coherencia.,NO
2024,33,Capital invertido,Rentabilidad,Capital Suscrito y Pagado + Obligaciones Financieras,78077,OK,Capital invertido negativo. Valor 78077 dentro de rango normal.,Screening de coherencia.,NO
2025,33,Capital invertido,Rentabilidad,Capital Suscrito y Pagado + Obligaciones Financieras,77266,OK,Capital invertido negativo. Valor 77266 dentro de rango normal.,Screening de coherencia.,NO
2020,34,ROIC,Rentabilidad,Utilidad operativa despues de impuestos / ((Capital invertido actual + anterior) / 2),,NO_ENCONTRADO,Sin valor en indicadores.csv para este año,Rendimiento del capital invertido < 0.,NO
2021,34,ROIC,Rentabilidad,Utilidad operativa despues de impuestos / ((Capital invertido actual + anterior) / 2),0.769098,OK,ROIC negativo. Valor 0.769098 dentro de rango normal.,Rendimiento del capital invertido < 0.,NO
2022,34,ROIC,Rentabilidad,Utilidad operativa despues de impuestos / ((Capital invertido actual + anterior) / 2),0.696987,OK,ROIC negativo. Valor 0.696987 dentro de rango normal.,Rendimiento del capital invertido < 0.,NO
2023,34,ROIC,Rentabilidad,Utilidad operativa despues de impuestos / ((Capital invertido actual + anterior) / 2),0.336844,OK,ROIC negativo. Valor 0.336844 dentro de rango normal.,Rendimiento del capital invertido < 0.,NO
2024,34,ROIC,Rentabilidad,Utilidad operativa despues de impuestos / ((Capital invertido actual + anterior) / 2),0.223575,OK,ROIC negativo. Valor 0.223575 dentro de rango normal.,Rendimiento del capital invertido < 0.,NO
2025,34,ROIC,Rentabilidad,Utilidad operativa despues de impuestos / ((Capital invertido actual + anterior) / 2),0.365617,OK,ROIC negativo. Valor 0.365617 dentro de rango normal.,Rendimiento del capital invertido < 0.,NO
2020,35,Rendimiento sobre capital total,Rentabilidad,UODI / ((Capital total actual + anterior) / 2),,NO_ENCONTRADO,Sin valor en indicadores.csv para este año,Retorno sobre capital total < 0.,NO
2021,35,Rendimiento sobre capital total,Rentabilidad,UODI / ((Capital total actual + anterior) / 2),0.769098,OK,Rendimiento sobre capital total < 0. Valor 0.769098 dentro de rango normal.,Retorno sobre capital total < 0.,NO
2022,35,Rendimiento sobre capital total,Rentabilidad,UODI / ((Capital total actual + anterior) / 2),0.696987,OK,Rendimiento sobre capital total < 0. Valor 0.696987 dentro de rango normal.,Retorno sobre capital total < 0.,NO
2023,35,Rendimiento sobre capital total,Rentabilidad,UODI / ((Capital total actual + anterior) / 2),0.336844,OK,Rendimiento sobre capital total < 0. Valor 0.336844 dentro de rango normal.,Retorno sobre capital total < 0.,NO
2024,35,Rendimiento sobre capital total,Rentabilidad,UODI / ((Capital total actual + anterior) / 2),0.223575,OK,Rendimiento sobre capital total < 0. Valor 0.223575 dentro de rango normal.,Retorno sobre capital total < 0.,NO
2025,35,Rendimiento sobre capital total,Rentabilidad,UODI / ((Capital total actual + anterior) / 2),0.365617,OK,Rendimiento sobre capital total < 0. Valor 0.365617 dentro de rango normal.,Retorno sobre capital total < 0.,NO
2020,36,Ciclo operativo,Capital de trabajo y ciclo,Dias de inventario + Dias de cartera,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2021,36,Ciclo operativo,Capital de trabajo y ciclo,Dias de inventario + Dias de cartera,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2022,36,Ciclo operativo,Capital de trabajo y ciclo,Dias de inventario + Dias de cartera,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2023,36,Ciclo operativo,Capital de trabajo y ciclo,Dias de inventario + Dias de cartera,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2024,36,Ciclo operativo,Capital de trabajo y ciclo,Dias de inventario + Dias de cartera,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2025,36,Ciclo operativo,Capital de trabajo y ciclo,Dias de inventario + Dias de cartera,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2020,37,Ciclo de conversion de efectivo,Capital de trabajo y ciclo,Dias de inventario + Dias de cartera - Dias de proveedores,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2021,37,Ciclo de conversion de efectivo,Capital de trabajo y ciclo,Dias de inventario + Dias de cartera - Dias de proveedores,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2022,37,Ciclo de conversion de efectivo,Capital de trabajo y ciclo,Dias de inventario + Dias de cartera - Dias de proveedores,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2023,37,Ciclo de conversion de efectivo,Capital de trabajo y ciclo,Dias de inventario + Dias de cartera - Dias de proveedores,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2024,37,Ciclo de conversion de efectivo,Capital de trabajo y ciclo,Dias de inventario + Dias de cartera - Dias de proveedores,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2025,37,Ciclo de conversion de efectivo,Capital de trabajo y ciclo,Dias de inventario + Dias de cartera - Dias de proveedores,,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2020,38,Necesidad de capital de trabajo,Capital de trabajo y ciclo,Activo corriente operativo - Pasivo corriente operativo,54602,OK,Indicador informativo sin umbral de screening.,,NO
2021,38,Necesidad de capital de trabajo,Capital de trabajo y ciclo,Activo corriente operativo - Pasivo corriente operativo,33754,OK,Indicador informativo sin umbral de screening.,,NO
2022,38,Necesidad de capital de trabajo,Capital de trabajo y ciclo,Activo corriente operativo - Pasivo corriente operativo,49391,OK,Indicador informativo sin umbral de screening.,,NO
2023,38,Necesidad de capital de trabajo,Capital de trabajo y ciclo,Activo corriente operativo - Pasivo corriente operativo,35341,OK,Indicador informativo sin umbral de screening.,,NO
2024,38,Necesidad de capital de trabajo,Capital de trabajo y ciclo,Activo corriente operativo - Pasivo corriente operativo,51666,OK,Indicador informativo sin umbral de screening.,,NO
2025,38,Necesidad de capital de trabajo,Capital de trabajo y ciclo,Activo corriente operativo - Pasivo corriente operativo,80770,OK,Indicador informativo sin umbral de screening.,,NO
2020,39,Capital de trabajo / Ingresos Operacionales,Capital de trabajo y ciclo,Capital de trabajo / Ingresos,1.43019,OK,Indicador informativo sin umbral de screening.,,NO
2021,39,Capital de trabajo / Ingresos Operacionales,Capital de trabajo y ciclo,Capital de trabajo / Ingresos,1.32765,OK,Indicador informativo sin umbral de screening.,,NO
2022,39,Capital de trabajo / Ingresos Operacionales,Capital de trabajo y ciclo,Capital de trabajo / Ingresos,1.1494,OK,Indicador informativo sin umbral de screening.,,NO
2023,39,Capital de trabajo / Ingresos Operacionales,Capital de trabajo y ciclo,Capital de trabajo / Ingresos,1.30523,OK,Indicador informativo sin umbral de screening.,,NO
2024,39,Capital de trabajo / Ingresos Operacionales,Capital de trabajo y ciclo,Capital de trabajo / Ingresos,1.07273,OK,Indicador informativo sin umbral de screening.,,NO
2025,39,Capital de trabajo / Ingresos Operacionales,Capital de trabajo y ciclo,Capital de trabajo / Ingresos,1.03012,OK,Indicador informativo sin umbral de screening.,,NO
2020,40,Cobertura de intereses,Cobertura y capacidad de pago,EBIT / Gastos financieros,92.9429,OK,Cobertura de intereses (EBIT/gasto financiero). Valor 92.9429 dentro de rango normal.,"Convención: < 3 vigilancia; < 1,5 riesgo de incumplimiento del servicio de deuda.",NO
2021,40,Cobertura de intereses,Cobertura y capacidad de pago,EBIT / Gastos financieros,127.322,OK,Cobertura de intereses (EBIT/gasto financiero). Valor 127.322 dentro de rango normal.,"Convención: < 3 vigilancia; < 1,5 riesgo de incumplimiento del servicio de deuda.",NO
2022,40,Cobertura de intereses,Cobertura y capacidad de pago,EBIT / Gastos financieros,138.769,OK,Cobertura de intereses (EBIT/gasto financiero). Valor 138.769 dentro de rango normal.,"Convención: < 3 vigilancia; < 1,5 riesgo de incumplimiento del servicio de deuda.",NO
2023,40,Cobertura de intereses,Cobertura y capacidad de pago,EBIT / Gastos financieros,102.739,OK,Cobertura de intereses (EBIT/gasto financiero). Valor 102.739 dentro de rango normal.,"Convención: < 3 vigilancia; < 1,5 riesgo de incumplimiento del servicio de deuda.",NO
2024,40,Cobertura de intereses,Cobertura y capacidad de pago,EBIT / Gastos financieros,56.7683,OK,Cobertura de intereses (EBIT/gasto financiero). Valor 56.7683 dentro de rango normal.,"Convención: < 3 vigilancia; < 1,5 riesgo de incumplimiento del servicio de deuda.",NO
2025,40,Cobertura de intereses,Cobertura y capacidad de pago,EBIT / Gastos financieros,96.7872,OK,Cobertura de intereses (EBIT/gasto financiero). Valor 96.7872 dentro de rango normal.,"Convención: < 3 vigilancia; < 1,5 riesgo de incumplimiento del servicio de deuda.",NO
2020,41,Cobertura de intereses EBITDA,Cobertura y capacidad de pago,EBITDA / Gastos financieros,107.905,OK,Cobertura de intereses con EBITDA. Valor 107.905 dentro de rango normal.,Igual criterio con EBITDA.,NO
2021,41,Cobertura de intereses EBITDA,Cobertura y capacidad de pago,EBITDA / Gastos financieros,146.753,OK,Cobertura de intereses con EBITDA. Valor 146.753 dentro de rango normal.,Igual criterio con EBITDA.,NO
2022,41,Cobertura de intereses EBITDA,Cobertura y capacidad de pago,EBITDA / Gastos financieros,162.097,OK,Cobertura de intereses con EBITDA. Valor 162.097 dentro de rango normal.,Igual criterio con EBITDA.,NO
